InteractionID	UniprotID_A	UniprotName_A	GeneName_A	UniprotID_B	UniprotName_B	GeneName_B	ExpEvidences	Methods	Publications	X3DStructures	CurationEvents	COF_Synonyms_A	Complex_A	Core_or_Variant_A	DBD_B	TF_assessment_B	Binding_mode_B
367444	Q9Z148	EHMT2_MOUSE	Ehmt2	O70237	GFI1B_MOUSE	Gfi1b	1	1	1	0	2	EHMT2;G9a	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
547554	P60710	ACTB_MOUSE	Actb	O70477	PKNX1_MOUSE	Pknox1	1	1	1	0	1	B-actin;Actb	BAF;PBAF	ACCESSORY	Homeodomain	Known motif	Monomer or homomultimer
549842	P70288	HDAC2_MOUSE	Hdac2	O70494	SP3_MOUSE	Sp3	1	1	1	0	2	Hdac2;Hd2;Yy1bp	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
549841	Q60520	SIN3A_MOUSE	Sin3a	O70494	SP3_MOUSE	Sp3	1	1	1	0	2	Sin3a;Kiaa4126	Sin3	NA	C2H2 ZF	Known motif	Monomer or homomultimer
550592	Q00899	TYY1_MOUSE	Yy1	O70494	SP3_MOUSE	Sp3	2	2	1	0	2	Yy1;Ucrbp	INO80	ACCESSORY	C2H2 ZF	Known motif	Monomer or homomultimer
549843	O09106	HDAC1_MOUSE	Hdac1	O70494	SP3_MOUSE	Sp3	1	1	1	0	1	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
568501	Q9Z148	EHMT2_MOUSE	Ehmt2	O88286	WIZ_MOUSE	Wiz	1	1	1	0	1	EHMT2;G9a	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
557462	Q80Z64	NANOG_MOUSE	Nanog	O88286	WIZ_MOUSE	Wiz	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
568494	P70351	EZH1_MOUSE	Ezh1	O88286	WIZ_MOUSE	Wiz	1	1	1	0	1	Ezh1;Enx2	PRC2	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
568473	Q61188	EZH2_MOUSE	Ezh2	O88286	WIZ_MOUSE	Wiz	1	1	1	0	1	Ezh2;Enx12	PRC2	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
374090	Q80Z64	NANOG_MOUSE	Nanog	O88291	ZN326_MOUSE	Znf326	2	2	1	0	2	Nanog;Ecat4;Enk	NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
558429	Q921E6	EED_MOUSE	Eed	O88291	ZN326_MOUSE	Znf326	1	1	1	0	1	Eed	PRC2	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
380479	Q9R190	MTA2_MOUSE	Mta2	O88939	ZBT7A_MOUSE	Zbtb7a	1	1	1	0	2	Mta2;Mta1l1	NuRD;NODE	NA	C2H2 ZF	Known motif	Monomer or homomultimer
366988	O09106	HDAC1_MOUSE	Hdac1	O88939	ZBT7A_MOUSE	Zbtb7a	3	3	2	0	5	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
380480	Q8VHR5	P66B_MOUSE	Gatad2b	O88939	ZBT7A_MOUSE	Zbtb7a	1	1	1	0	2	p66β;Gatad2b;p66/p68	NuRD;NODE	NA	C2H2 ZF	Known motif	Monomer or homomultimer
173192	Q80Z64	NANOG_MOUSE	Nanog	O89090	SP1_MOUSE	Sp1	3	3	1	0	3	Nanog;Ecat4;Enk	NODE	NA	C2H2 ZF	Known motif	Monomer or homomultimer
549794	O09106	HDAC1_MOUSE	Hdac1	O89090	SP1_MOUSE	Sp1	3	2	2	0	4	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
371003	P20263	PO5F1_MOUSE	Pou5f1	O89090	SP1_MOUSE	Sp1	3	2	2	0	3	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	C2H2 ZF	Known motif	Monomer or homomultimer
547718	Q6DIC0	SMCA2_MOUSE	Smarca2	P01101	FOS_MOUSE	Fos	1	1	1	0	1	Smarca2;Baf190b;Snf2a;Snf2l2;Brm	BAF	CATALYTIC	bZIP	Known motif	Monomer or homomultimer
551996	Q00899	TYY1_MOUSE	Yy1	P01101	FOS_MOUSE	Fos	1	1	1	0	1	Yy1;Ucrbp	INO80	ACCESSORY	bZIP	Known motif	Monomer or homomultimer
547719	Q9Z0H3	SNF5_MOUSE	Smarcb1	P01101	FOS_MOUSE	Fos	1	1	1	0	1	Smarcb1;Baf47;Ini1;Snf5l1	BAF	CORE	bZIP	Known motif	Monomer or homomultimer
543539	Q9Z2D8	MBD3_MOUSE	Mbd3	P01108	MYC_MOUSE	Myc	1	1	1	0	1	Mbd3	NuRD	NA	bHLH	Known motif	Obligate heteromer
551526	Q3TKT4	SMCA4_MOUSE	Smarca4	P01108	MYC_MOUSE	Myc	1	1	1	0	1	Smarca4;Baf190a;Snf2l4;Snf2b;Brg1	BAF	CATALYTIC	bHLH	Known motif	Obligate heteromer
372182	Q8CHK4	KAT5_MOUSE	Kat5	P01108	MYC_MOUSE	Myc	1	1	1	0	1	Kat5;Tip60	NuA4	NA	bHLH	Known motif	Obligate heteromer
200719	Q8CHI8	EP400_MOUSE	Ep400	P01108	MYC_MOUSE	Myc	2	2	1	0	2	p400;hDomino	NuA4	NA	bHLH	Known motif	Obligate heteromer
543541	Q9R190	MTA2_MOUSE	Mta2	P01108	MYC_MOUSE	Myc	1	1	1	0	1	Mta2;Mta1l1	NuRD;NODE	NA	bHLH	Known motif	Obligate heteromer
200718	Q80YV3	TRRAP_MOUSE	Trrap	P01108	MYC_MOUSE	Myc	2	2	1	0	2	Trrap;Paf400;Paf350;Staf40	STAGA;TFTC;PCAF	NA	bHLH	Known motif	Obligate heteromer
200721	Q8C0I4	EPC2_MOUSE	Epc2	P01108	MYC_MOUSE	Myc	1	1	1	0	1	Epc2	NA	NA	bHLH	Known motif	Obligate heteromer
543537	P20263	PO5F1_MOUSE	Pou5f1	P01108	MYC_MOUSE	Myc	1	1	1	0	1	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	bHLH	Known motif	Obligate heteromer
374363	Q6PDQ2	CHD4_MOUSE	Chd4	P01108	MYC_MOUSE	Myc	1	1	1	0	3	Mi-2β;Chd4	NuRD	NA	bHLH	Known motif	Obligate heteromer
200720	Q8R3B7	BRD8_MOUSE	Brd8	P01108	MYC_MOUSE	Myc	2	2	1	0	2	Brd8;p120	NuA4	NA	bHLH	Known motif	Obligate heteromer
200716	Q9JI44	DMAP1_MOUSE	Dmap1	P01108	MYC_MOUSE	Myc	2	2	1	0	3	Dmap1;Dnmap1	NuA4	NA	bHLH	Known motif	Obligate heteromer
200717	Q8C9X6	EPC1_MOUSE	Epc1	P01108	MYC_MOUSE	Myc	1	1	1	0	1	Epc1	NuA4	NA	bHLH	Known motif	Obligate heteromer
551883	Q3TKT4	SMCA4_MOUSE	Smarca4	P02340	P53_MOUSE	Tp53	1	1	1	0	1	Smarca4;Baf190a;Snf2l4;Snf2b;Brg1	BAF	CATALYTIC	p53	Known motif	Monomer or homomultimer
380661	Q8CHI8	EP400_MOUSE	Ep400	P02340	P53_MOUSE	Tp53	1	1	1	0	2	p400;hDomino	NuA4	NA	p53	Known motif	Monomer or homomultimer
369740	P70399	TP53B_MOUSE	Tp53bp1	P02340	P53_MOUSE	Tp53	1	1	1	0	2	TP53BP1	NA	NA	p53	Known motif	Monomer or homomultimer
369383	Q61466	SMRD1_MOUSE	Smarcd1	P02340	P53_MOUSE	Tp53	3	3	1	0	6	Smarcd1;Baf60a;D15Kz1	BAF	ACCESSORY	p53	Known motif	Monomer or homomultimer
178581	O35613	DAXX_MOUSE	Daxx	P02340	P53_MOUSE	Tp53	3	2	2	0	3	Daxx	Daxx	NA	p53	Known motif	Monomer or homomultimer
549212	Q60520	SIN3A_MOUSE	Sin3a	P02340	P53_MOUSE	Tp53	1	1	1	0	1	Sin3a;Kiaa4126	Sin3	NA	p53	Known motif	Monomer or homomultimer
369741	Q64127	TIF1A_MOUSE	Trim24	P02340	P53_MOUSE	Tp53	2	2	1	0	3	Trim24;TIF1A	NA	NA	p53	Known motif	Monomer or homomultimer
549286	Q6PGF3	MED16_MOUSE	Med16	P02340	P53_MOUSE	Tp53	1	1	1	0	1	Med16;Trap95;Drip92;Thrap5	Mediator	CORE	p53	Known motif	Monomer or homomultimer
371847	B2RWS6	EP300_MOUSE	Ep300	P02340	P53_MOUSE	Tp53	7	4	6	0	8	p300;Ep300	p300	NA	p53	Known motif	Monomer or homomultimer
550495	O88907	PIAS1_MOUSE	Pias1	P02340	P53_MOUSE	Tp53	1	1	1	0	1	Pias1	NA	E3 SUMO ligase	p53	Known motif	Monomer or homomultimer
369927	Q60974	NCOR1_MOUSE	Ncor1	P02340	P53_MOUSE	Tp53	1	1	1	0	2	Ncor;Rxrip13;NCoR1;RIP13	NCoR	NA	p53	Known motif	Monomer or homomultimer
380660	P45481	CBP_MOUSE	Crebbp	P02340	P53_MOUSE	Tp53	1	1	1	0	2	Cbp;Crebbp	CBP	NA	p53	Known motif	Monomer or homomultimer
369926	O09106	HDAC1_MOUSE	Hdac1	P02340	P53_MOUSE	Tp53	1	1	1	0	2	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	p53	Known motif	Monomer or homomultimer
547717	Q9Z0H3	SNF5_MOUSE	Smarcb1	P05627	JUN_MOUSE	Jun	1	1	1	0	1	Smarcb1;Baf47;Ini1;Snf5l1	BAF	CORE	bZIP	Known motif	Monomer or homomultimer
547716	Q6DIC0	SMCA2_MOUSE	Smarca2	P05627	JUN_MOUSE	Jun	1	1	1	0	1	Smarca2;Baf190b;Snf2a;Snf2l2;Brm	BAF	CATALYTIC	bZIP	Known motif	Monomer or homomultimer
547709	O09106	HDAC1_MOUSE	Hdac1	P10085	MYOD1_MOUSE	Myod1	3	1	3	0	3	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	bHLH	Known motif	Monomer or homomultimer
551681	P70365	NCOA1_MOUSE	Ncoa1	P10085	MYOD1_MOUSE	Myod1	2	2	1	0	3	Ncoa1;Nrc1;Src1	SRC	NA	bHLH	Known motif	Monomer or homomultimer
551952	Q61188	EZH2_MOUSE	Ezh2	P10085	MYOD1_MOUSE	Myod1	1	1	1	0	1	Ezh2;Enx12	PRC2	NA	bHLH	Known motif	Monomer or homomultimer
547742	Q9JHD1	KAT2B_MOUSE	Kat2b	P10085	MYOD1_MOUSE	Myod1	4	2	3	0	5	Kat2b;Pcaf	PCAF	NA	bHLH	Known motif	Monomer or homomultimer
372551	Q3TKT4	SMCA4_MOUSE	Smarca4	P10085	MYOD1_MOUSE	Myod1	1	1	1	0	1	Smarca4;Baf190a;Snf2l4;Snf2b;Brg1	BAF	CATALYTIC	bHLH	Known motif	Monomer or homomultimer
550130	B2RWS6	EP300_MOUSE	Ep300	P10085	MYOD1_MOUSE	Myod1	2	1	2	0	2	p300;Ep300	p300	NA	bHLH	Known motif	Monomer or homomultimer
551412	Q6ZQ88	KDM1A_MOUSE	Kdm1a	P10085	MYOD1_MOUSE	Myod1	1	1	1	0	1	Kdm1a;Aof2;Kiaa0601;Lsd1	CoREST	NA	bHLH	Known motif	Monomer or homomultimer
551680	Q61026	NCOA2_MOUSE	Ncoa2	P10085	MYOD1_MOUSE	Myod1	2	2	1	0	3	Ncoa2;Grip1;Src2	SRC	NA	bHLH	Known motif	Monomer or homomultimer
372549	Q6P9Z1	SMRD3_MOUSE	Smarcd3	P10085	MYOD1_MOUSE	Myod1	4	4	1	0	6	Smarcd3;Baf60c	BAF	ACCESSORY	bHLH	Known motif	Monomer or homomultimer
